,genre
pop,1472
dance pop,1184
post-teen pop,595
pop rap,592
pop rock,454
rap,452
urban contemporary,443
r&b,383
hip pop,301
hip hop,294
neo mellow,264
southern hip hop,174
post-grunge,160
atl hip hop,148
trap,123
neo soul,123
canadian pop,110
electropop,110
uk pop,100
alternative metal,96
rock,95
gangster rap,85
talent show,75
nu metal,74
edm,73
queens hip hop,69
south carolina hip hop,66
modern rock,66
europop,65
dirty south rap,64
pop punk,64
contemporary country,63
boy band,57
melodic rap,53
dfw rap,52
country,51
country road,51
east coast hip hop,49
tropical house,47
canadian hip hop,43
toronto rap,43
indie poptimism,42
miami hip hop,42
latin,42
new jack swing,38
metropopolis,38
country dawn,38
girl group,38
dancehall,36
british soul,34
barbadian pop,33
chicago rap,29
viral pop,28
hardcore hip hop,27
latin pop,27
electro house,25
bronx hip hop,25
piano rock,24
acoustic pop,24
country pop,24
lilith,23
permanent wave,22
brostep,22
new jersey rap,20
mexican classic rock,18
blues rock,18
classic rock,18
crunk,17
detroit hip hop,17
alternative r&b,17
new orleans rap,16
australian hip hop,15
seattle hip hop,15
etherpop,15
west coast rap,15
st louis rap,14
funk metal,14
oklahoma country,14
conscious hip hop,14
rap metal,14
tropical,14
philly rap,14
pittsburgh rap,14
puerto rican pop,14
electro,14
colombian pop,13
canadian latin,13
escape room,13
indie pop,13
complextro,13
filter house,13
modern alternative rock,13
quiet storm,13
canadian contemporary r&b,12
deep pop r&b,12
new wave pop,12
pinoy hip hop,12
german techno,12
rap rock,11
electronic trap,11
reggae fusion,11
alternative rock,11
vapor twitch,11
bass trap,11
australian pop,11
progressive electro house,10
canadian rock,10
viral trap,10
art pop,9
baroque pop,9
nz pop,9
punk,9
country rap,6
lgbtq+ hip hop,6
underground hip hop,4
battle rap,2
houston rap,2
motown,1
vapor trap,1
nyc rap,1
oakland hip hop,1
hyphy,1
uk dance,1
dmv rap,1
memphis hip hop,1
soul,1
funk,1
cali rap,1
progressive house,1
modern country rock,1
alternative hip hop,1
house,1
portland hip hop,1
deep southern trap,1
